N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"67,500","1,200",-1.75%,100,"4,029,603","5,969,783",51.30,"16,358,822",11.68,13.92
2,LG에너지솔루션,"441,000","10,000",+2.32%,500,"1,031,940","234,000",3.04,"319,466",111.28,10.68
3,SK하이닉스,"110,000","3,000",-2.65%,"5,000","800,803","728,002",49.96,"4,648,714",8.34,16.84
4,삼성바이오로직스,"839,000","31,000",+3.84%,"2,500","555,124","66,165",10.54,"111,256",142.74,8.21
5,NAVER,"313,000","2,500",+0.81%,100,"513,474","164,049",54.42,"459,085",3.12,106.72
6,삼성전자우,"60,700",800,-1.30%,100,"499,492","822,887",73.10,"871,096",10.51,N/A
7,카카오,"96,100",300,+0.31%,100,"428,866","446,270",28.92,"1,294,803",30.68,17.10
8,삼성SDI,"620,000","21,000",+3.51%,"5,000","426,340","68,765",43.19,"523,485",37.30,8.45
9,현대차,"177,500","3,500",-1.93%,"5,000","379,261","213,668",26.58,"895,123",9.95,6.84
10,LG화학,"514,000","4,000",-0.77%,"5,000","362,845","70,592",48.59,"126,678",10.96,18.47
11,기아,"76,800","1,100",-1.41%,"5,000","311,319","405,363",34.38,"1,269,045",6.54,14.69
12,POSCO홀딩스,"286,000",500,+0.18%,"5,000","249,354","87,187",52.73,"203,973",3.77,13.97
13,KB금융,"59,800",100,+0.17%,"5,000","246,587","412,352",72.79,"944,332",5.64,9.80
14,셀트리온,"164,000",500,-0.30%,"1,000","226,247","137,956",19.16,"357,868",40.09,15.81
15,카카오뱅크,"46,700",150,-0.32%,"5,000","221,899","475,159",15.96,"758,559",100.00,4.91
16,신한지주,"40,750",300,+0.74%,"5,000","210,514","516,600",61.95,"1,293,462",5.41,8.80
17,삼성물산,"110,500",0,0.00%,100,"206,510","186,887",15.61,"347,265",12.74,5.40
18,LG전자,"126,000","1,000",-0.79%,"5,000","206,196","163,648",28.00,"1,534,660",22.09,6.32
19,현대모비스,"207,500","2,500",-1.19%,"5,000","196,239","94,573",34.11,"214,999",8.36,6.87
20,SK이노베이션,"209,000","3,000",+1.46%,"5,000","193,253","92,466",23.50,"384,923",64.31,1.91
21,SK,"249,500","1,000",+0.40%,200,"185,003","74,149",21.66,"100,713",9.02,10.19
22,카카오페이,"135,000","1,000",+0.75%,500,"178,792","132,439",42.58,"171,877",-681.82,-2.45
23,하나금융지주,"47,100",100,-0.21%,"5,000","141,414","300,242",71.21,"862,042",4.01,10.86
24,한국전력,"21,900",200,-0.90%,"5,000","140,590","641,964",14.66,"1,434,003",-2.65,-7.99
25,LG생활건강,"894,000","4,000",+0.45%,"5,000","139,627","15,618",40.56,"42,415",18.76,16.65
26,SK텔레콤,"60,500","1,000",-1.63%,100,"132,394","218,833",46.62,"1,159,134",8.84,13.63
27,HMM,"27,000",250,+0.93%,"5,000","132,041","489,039",10.33,"3,086,882",1.96,88.62
